"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.908586593272028,0.00849857503943133,-106.910463113687,0
"sa2",0.0356589877157211,0.00707729738882363,5.03850350728985,4.71371457951318e-07
"stimcold",-0.421095752644167,0.0129747420520892,-32.455038485822,6.84321161269132e-228
"stimwarm",-0.678084885675932,0.0133007070689496,-50.9811156775956,0
"trial",0.0599061233269759,0.00551063737895491,10.8709971655469,1.74230405658105e-27
"sa2:stimcold",-0.115072807402633,0.0118497833202265,-9.71096300184788,2.87709428695501e-22
"sa2:stimwarm",-0.0613369374929063,0.0120382996765895,-5.09514957599755,3.50161020679919e-07
"(Intercept)",-0.595883775724735,0.00963685910855467,-61.8338162893517,0
"sa2",-0.0714958093853621,0.00932039938368338,-7.67089546726133,1.74937664332858e-14
"stimcold",0.00248557487099987,0.014101464042769,0.176263603797538,0.860087810131171
"stimwarm",-0.0677285666818546,0.0143005601782595,-4.73607787650301,2.18693367008035e-06
"trial",-0.0158250930571799,0.00566579151206629,-2.79309484358498,0.00522329488554862
"sa2:stimcold",-0.0345140316698884,0.0141792658405254,-2.43411979562754,0.0149327082297849
"sa2:stimwarm",-0.00997896252617945,0.0140651502445601,-0.709481402805418,0.478030218011935
"(Intercept)",-1.36573446949334,0.0583764194182075,-23.3953106940192,3.50209824462015e-120
"sa2",-0.3661165943993,0.059133999445243,-6.19130445824685,6.02883850307839e-10
"stimcold",2.24689733962456,0.0766232678099594,29.3239560755527,6.80678586382958e-187
"stimwarm",3.54071503449244,0.0758000538687669,46.7112469421526,0
"trial",-0.0405230695954384,0.0296809317675511,-1.36528967192804,0.172170248534562
"sa2:stimcold",0.452645188274865,0.0783728723440492,5.77553399201444,7.73167309530279e-09
"sa2:stimwarm",0.377577774859397,0.0795585094185928,4.74591313510906,2.0833547621817e-06
"(Intercept)",-5.05136521232759,0.142627926116002,-35.4163826810411,2.8976525342861e-270
"sa2",0.309774442365583,0.132603171915342,2.3361013005281,0.0194912251821321
"stimcold",-1.90886654584156,0.312161554373693,-6.11499564599306,9.75154068608691e-10
"stimwarm",-1.99320526439889,0.321410711217858,-6.20142762774279,5.65384378793532e-10
"trial",0.547106521890012,0.108749492848009,5.03088803048177,4.90474232913419e-07
"sa2:stimcold",-0.888866695081389,0.378451972752057,-2.34869087513974,0.0188447244886981
"sa2:stimwarm",-1.02369406522944,0.384596102881382,-2.66173800919966,0.00777716340479856
