"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",0
"12",1
"13",0
"14",0
"15",1
"16",1
"17",1
"18",0.774045801526718
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",0.465592972181552
"26",0
"27",0
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",0.196940726577437
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",0
"48",0
"49",0
"50",1
"51",0
"52",1
"53",0.505905511811024
"54",1
"55",0
"56",1
"57",1
"58",1
"59",1
"60",0.630291627469426
"61",1
"62",0
"63",1
"64",1
"65",1
"66",1
"67",0
"68",0.165730337078652
"69",0
"70",1
"71",0
"72",0
"73",1
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0.295774647887324
"81",1
"82",1
"83",0.52317880794702
"84",0.731070496083551
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",1
"93",0
"94",0
"95",0
"96",1
"97",0
"98",0
"99",0.394202898550725
"100",0
"101",1
"102",0.303692539562924
"103",0
"104",1
"105",1
"106",1
"107",0.689992475545523
"108",0
"109",0
"110",0
"111",0.71563088512241
"112",0
"113",0.196896217264792
"114",0
"115",0
"116",0.176762661370407
"117",0
"118",0
"119",0
"120",0.297478991596639
"121",0
"122",0
"123",0
"124",0
"125",1
"126",0.75685234305924
"127",0
"128",1
"129",0
"130",0
"131",0.142994241842611
"132",1
"133",0
"134",0
"135",0
"136",0
"137",0
"138",1
"139",1
"140",0
"141",1
"142",1
"143",0
"144",0
"145",0.209188660801564
"146",0
"147",0.827160493827161
"148",1
"149",0
"150",0
"151",0
"152",1
"153",0
"154",0
"155",0.190248565965583
"156",0
"157",0
"158",0
"159",0
"160",0
"161",1
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",1
"169",0
"170",0.672972972972973
"171",1
"172",0.708333333333333
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0.801615798922801
"185",0
"186",0
"187",1
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0.320261437908497
"197",1
"198",0
"199",0
"200",1
"201",1
"202",0
"203",0
"204",0
"205",0
"206",1
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",1
"214",1
"215",1
"216",0
"217",0
"218",0.798403193612775
"219",0
"220",0
"221",1
"222",0
"223",1
"224",1
"225",0
"226",1
"227",1
"228",1
"229",0
"230",1
"231",1
"232",0.452033768227168
"233",0
"234",1
"235",1
"236",1
"237",0.653903903903904
"238",0
"239",0.330940416367552
"240",1
"241",0
"242",0.540790580319596
"243",0
"244",1
"245",1
"246",1
"247",1
"248",1
"249",1
"250",1
"251",1
"252",0
"253",1
"254",1
"255",1
"256",0.223404255319149
"257",1
"258",1
"259",1
"260",0
"261",1
"262",1
"263",0
"264",0.590736522399393
"265",0.253968253968254
"266",0
"267",0
"268",1
"269",0
"270",1
"271",0
"272",1
"273",1
"274",0
"275",0.103214890016921
"276",0
"277",1
"278",0
"279",1
"280",1
"281",1
"282",0.853288364249578
"283",1
"284",0.283372365339579
"285",0
"286",1
"287",1
"288",0
"289",1
"290",0.387265917602996
"291",1
"292",1
"293",1
"294",0.744110479285134
"295",1
"296",0
"297",1
"298",1
"299",0.760575296108291
"300",1
"301",1
"302",1
"303",1
"304",0.86261040235525
"305",0.261032863849765
"306",0.148421052631579
