"","id","age","gender","omega","zeta","beta_TGI","responsiveness"
"1","265",24,2,-6.7675,5.1673,0.0417328834047044,0.0828254913076342
"2","266",23,1,0.0043818,1.0343,0.0853895482665687,0.000215537603930458
"3","267",20,1,-0.12177,1.4194,0.0356589877157213,0
"4","268",23,1,-1.035,1.0387,0.141008984427623,0.0573226686507937
"5","269",31,2,-0.5715,1.1948,0.00430727313967715,0.00429303665910813
"6","270",20,2,-0.045632,1.1396,-0.184212713222953,-0.000789673180592995
"7","271",24,1,0.49614,0.88281,-0.0265613605633891,-0.00474588707010582
"8","276",24,1,-2.8318,2.8329,0.0627823032139163,0.0260416666666667
"9","278",26,2,-0.031224,1.2663,-0.158785548517418,0.184979225430009
"10","279",22,2,-1.2483,1.6241,-0.0586968057035825,0.0902648602843916
"11","280",20,1,-1.1668,2.0369,0.0698045664292768,0.348343460648148
"12","281",24,1,-0.1718,2.2865,0.0604590889044128,0.00988436844863731
"13","283",38,1,-4.6002,0.23228,-0.0906565305435901,0.0582866827286471
"14","285",26,1,-1.0742,1.5239,-0.1886269692163,0.327091600529101
"15","286",23,2,-0.56013,1.7706,0.0557818742713687,0.197797825727513
"16","287",24,1,-3.4606,0.59676,-0.00451102812444749,0.0599371693121692
"17","288",22,1,0.094308,2.0242,-0.141143266537595,-0.00437903025793651
"18","289",20,2,-0.77502,1.0593,0.078239501524427,0.0248242716802168
"19","290",28,1,-0.1617,0.94509,-0.296735335731795,0.0269562251984127
"20","291",28,1,-0.58837,0.70766,-0.0900774424733032,-0.0690901360544218
"21","292",22,1,-4.3968,1.7732,0.10069754337381,0.0287901192971947
"22","293",22,2,-1.9966,1.0216,0.490948290113045,0.0109197177298592
"23","294",36,2,-3.942,0.15243,0.136020724425137,0.0666214995483288
"24","295",21,1,-6.3418,0.47791,-0.0203804777529229,0.181397776124339
"25","296",22,1,0.11331,0.79785,0.0294336973040679,0.0250820814436886
"26","297",25,1,0.18939,1.456,-0.00803542239810055,0.0532466458805745
"27","299",26,2,0.31886,1.336,-0.142966762383989,0.078615126606198
"28","300",24,2,-3.4411,1.153,0.102459450600012,0.152131610636917
"29","301",25,1,-1.5165,1.8959,0.0156149256795742,0.103685397770219
"30","303",21,1,-0.3108,1.5899,-0.0542091685878826,-0.00319468065003779
"31","304",31,2,-2.2083,1.1794,0.223113874515595,0.04042400380291
"32","309",21,1,-2.8044,3.3212,-0.0839132322727675,0.156486205593348
"33","310",25,1,0.72422,1.0657,0.0813625170578923,0.230973639455782
"34","311",19,1,-0.39893,1.7141,0.168071663500623,0.09927130574452
"35","312",29,1,-0.70716,1.2677,0.1377660266147,0.01161541005291
"36","313",24,1,-0.70282,2.1812,0.18048288927872,0.0505229001322752
"37","314",22,1,0.45368,1.1783,0.160617993911544,0.123756968065004
"38","315",23,1,-6.0829,0.2465,-0.188943961378304,0.205740976946334
"39","317",22,1,0.71635,0.78725,-0.0344326188155204,0.127540602850155
"40","318",28,1,-2.3965,2.8484,0.299116103671731,0.0220940806878307
"41","319",24,2,0.27427,1.4757,-0.158528462447397,0.000341021825396748
"42","320",31,2,0.75243,0.54856,-0.069178212294045,0.00737847222222223
"43","323",31,1,0.60508,1.143,0.0801376576671442,0.129725219080688
"44","324",26,1,0.32308,1.1838,0.0417876110751312,0.189879402281746
"45","328",23,2,-0.41073,0.57315,-0.128274302360183,-0.0115792410714286
"46","329",22,1,-9.9214,2.061,-0.102766549791077,0.0276832955404384
"47","331",23,1,0.13633,1.2431,0.01882272926957,0.161260511148904
"48","332",23,2,-0.63759,1.2289,0.183060240076584,0.0307022982804232
