trial,sequence,condition,block_type,cue,trial_type,desired_prob,actual_prob,block_volatility,outcome,cue_prediction,blockwise_trial,blockNumber
1,4,3,3,0,2,0.18,0.1875,0,1,2,1,1
2,4,1,3,0,1,0.18,0.1875,0,0,2,2,1
3,4,3,3,0,2,0.18,0.1875,0,1,2,3,1
4,4,1,3,0,1,0.18,0.1875,0,0,2,4,1
5,4,1,3,0,1,0.18,0.1875,0,0,2,5,1
6,4,2,3,1,1,0.18,0.1875,0,1,2,6,1
7,4,2,3,1,1,0.18,0.1875,0,1,2,7,1
8,4,2,3,1,1,0.18,0.1875,0,1,2,8,1
9,4,4,3,1,2,0.18,0.1875,0,0,2,9,1
10,4,1,3,0,1,0.18,0.1875,0,0,2,10,1
11,4,1,3,0,1,0.18,0.1875,0,0,2,11,1
12,4,6,3,0,3,0.18,0.1875,0,2,2,1001,1
13,4,2,3,1,1,0.18,0.1875,0,1,2,12,1
14,4,7,3,1,3,0.18,0.1875,0,2,2,1002,1
15,4,3,3,0,2,0.18,0.1875,0,1,2,13,1
16,4,2,3,1,1,0.18,0.1875,0,1,2,14,1
17,4,6,3,0,3,0.18,0.1875,0,2,2,1003,1
18,4,4,3,1,2,0.18,0.1875,0,0,2,15,1
19,4,1,3,0,1,0.18,0.1875,0,0,2,16,1
20,4,1,3,0,1,0.18,0.1875,0,0,2,17,1
21,4,1,3,0,1,0.18,0.1875,0,0,2,18,1
22,4,2,3,1,1,0.18,0.1875,0,1,2,19,1
23,4,1,3,0,1,0.18,0.1875,0,0,2,20,1
24,4,2,3,1,1,0.18,0.1875,0,1,2,21,1
25,4,3,3,0,2,0.18,0.1875,0,1,2,22,1
26,4,4,3,1,2,0.18,0.1875,0,0,2,23,1
27,4,4,3,1,2,0.18,0.1875,0,0,2,24,1
28,4,2,3,1,1,0.18,0.1875,0,1,2,25,1
29,4,1,3,0,1,0.18,0.1875,0,0,2,26,1
30,4,1,3,0,1,0.18,0.1875,0,0,2,27,1
31,4,2,3,1,1,0.18,0.1875,0,1,2,28,1
32,4,2,3,1,1,0.18,0.1875,0,1,2,29,1
33,4,1,3,0,1,0.18,0.1875,0,0,2,30,1
34,4,7,3,1,3,0.18,0.1875,0,2,2,1004,1
35,4,2,3,1,1,0.18,0.1875,0,1,2,31,1
36,4,1,3,0,1,0.18,0.1875,0,0,2,32,1
37,4,1,3,0,1,0.18,0.1875,0,0,2,33,1
38,4,1,3,0,1,0.18,0.1875,0,0,2,34,1
39,4,2,3,1,1,0.18,0.1875,0,1,2,35,1
40,4,2,3,1,1,0.18,0.1875,0,1,2,36,1
41,4,4,3,1,2,0.18,0.1875,0,0,2,37,1
42,4,2,3,1,1,0.18,0.1875,0,1,2,38,1
43,4,1,3,0,1,0.18,0.1875,0,0,2,39,1
44,4,2,3,1,1,0.18,0.1875,0,1,2,40,1
45,4,1,3,0,1,0.18,0.1875,0,0,2,41,1
46,4,1,3,0,1,0.18,0.1875,0,0,2,42,1
47,4,1,3,0,1,0.18,0.1875,0,0,2,43,1
48,4,1,3,0,1,0.18,0.1875,0,0,2,44,1
49,4,4,3,1,2,0.18,0.1875,0,0,2,45,1
50,4,2,3,1,1,0.18,0.1875,0,1,2,46,1
51,4,3,3,0,2,0.18,0.1875,0,1,2,47,1
52,4,2,3,1,1,0.18,0.1875,0,1,2,48,1
53,4,2,3,1,1,0.18,0.1875,0,1,2,49,1
54,4,2,3,1,1,0.18,0.1875,0,1,2,50,1
55,4,1,3,0,1,0.18,0.1875,0,0,2,51,1
56,4,2,3,1,1,0.18,0.1875,0,1,2,52,1
57,4,1,3,0,1,0.18,0.1875,0,0,2,53,1
58,4,1,3,0,1,0.18,0.1875,0,0,2,54,1
59,4,2,3,1,1,0.18,0.1875,0,1,2,55,1
60,4,6,3,0,3,0.18,0.1875,0,2,2,1005,1
61,4,2,3,1,1,0.18,0.1875,0,1,2,56,1
62,4,1,3,0,1,0.18,0.1875,0,0,2,57,1
63,4,1,3,0,1,0.18,0.1875,0,0,2,58,1
64,4,2,3,1,1,0.18,0.1875,0,1,2,59,1
65,4,1,3,0,1,0.18,0.1875,0,0,2,60,1
66,4,2,3,1,1,0.18,0.1875,0,1,2,61,1
67,4,2,3,1,1,0.18,0.1875,0,1,2,62,1
68,4,3,3,0,2,0.18,0.1875,0,1,2,63,1
69,4,2,3,1,1,0.18,0.1875,0,1,2,64,1
70,4,5,1,1,2,0.5,0.5,1,1,0,1,2
71,4,5,1,1,1,0.5,0.5,1,0,0,2,2
72,4,5,1,0,1,0.5,0.5,1,1,0,3,2
73,4,5,1,0,2,0.5,0.5,1,0,0,4,2
74,4,5,1,0,1,0.5,0.5,1,1,0,5,2
75,4,7,3,1,3,0.5,0.5,0,2,2,1006,2
76,4,5,1,0,2,0.5,0.5,1,0,0,6,2
77,4,5,1,1,1,0.5,0.5,1,0,0,7,2
78,4,5,1,1,2,0.5,0.5,1,1,0,8,2
79,4,6,1,0,3,0.5,0.5,1,2,0,1007,2
80,4,2,2,1,1,0.18,0.166666667,1,1,2,1,3
81,4,4,2,1,2,0.18,0.166666667,1,0,2,2,3
82,4,1,2,0,1,0.18,0.166666667,1,0,2,3,3
83,4,1,2,0,1,0.18,0.166666667,1,0,2,4,3
84,4,4,2,1,2,0.18,0.166666667,1,0,2,5,3
85,4,2,2,1,1,0.18,0.166666667,1,1,2,6,3
86,4,2,2,1,1,0.18,0.166666667,1,1,2,7,3
87,4,7,1,1,3,0.18,0.166666667,1,2,0,1008,3
88,4,1,2,0,1,0.18,0.166666667,1,0,2,8,3
89,4,2,2,1,1,0.18,0.166666667,1,1,2,9,3
90,4,1,2,0,1,0.18,0.166666667,1,0,2,10,3
91,4,1,2,0,1,0.18,0.166666667,1,0,2,11,3
92,4,2,2,1,1,0.18,0.166666667,1,1,2,12,3
93,4,2,2,1,1,0.18,0.166666667,1,1,2,13,3
94,4,6,2,0,3,0.18,0.166666667,1,2,2,1009,3
95,4,2,2,1,1,0.18,0.166666667,1,1,2,14,3
96,4,2,2,1,1,0.18,0.166666667,1,1,2,15,3
97,4,1,2,0,1,0.18,0.166666667,1,0,2,16,3
98,4,1,2,0,1,0.18,0.166666667,1,0,2,17,3
99,4,2,2,1,1,0.18,0.166666667,1,1,2,18,3
100,4,1,2,0,1,0.18,0.166666667,1,0,2,19,3
101,4,1,2,0,1,0.18,0.166666667,1,0,2,20,3
102,4,2,2,1,1,0.18,0.166666667,1,1,2,21,3
103,4,3,2,0,2,0.18,0.166666667,1,1,2,22,3
104,4,3,2,0,2,0.18,0.166666667,1,1,2,23,3
105,4,1,2,0,1,0.18,0.166666667,1,0,2,24,3
106,4,7,2,1,3,0.18,0.166666667,1,2,2,1010,3
107,4,5,1,1,2,0.5,0.5,1,1,0,1,4
108,4,5,1,1,1,0.5,0.5,1,0,0,2,4
109,4,7,2,1,3,0.5,0.5,1,2,2,1011,4
110,4,5,1,0,1,0.5,0.5,1,1,0,3,4
111,4,5,1,0,2,0.5,0.5,1,0,0,4,4
112,4,5,1,1,2,0.5,0.5,1,1,0,5,4
113,4,5,1,1,1,0.5,0.5,1,0,0,6,4
114,4,5,1,0,2,0.5,0.5,1,0,0,7,4
115,4,5,1,0,1,0.5,0.5,1,1,0,8,4
116,4,6,2,0,3,0.5,0.5,1,2,2,1012,4
117,4,1,2,0,1,0.82,0.9,1,1,1,1,5
118,4,2,2,1,1,0.82,0.9,1,0,1,2,5
119,4,6,1,0,3,0.82,0.9,1,2,0,1013,5
120,4,2,2,1,1,0.82,0.9,1,0,1,3,5
121,4,1,2,0,1,0.82,0.9,1,1,1,4,5
122,4,1,2,0,1,0.82,0.9,1,1,1,5,5
123,4,3,2,0,2,0.82,0.9,1,0,1,6,5
124,4,2,2,1,1,0.82,0.9,1,0,1,7,5
125,4,6,2,0,3,0.82,0.9,1,2,1,1014,5
126,4,1,2,0,1,0.82,0.9,1,1,1,8,5
127,4,7,1,1,3,0.82,0.9,1,2,0,1015,5
128,4,1,2,0,1,0.82,0.9,1,1,1,9,5
129,4,6,1,0,3,0.82,0.9,1,2,0,1016,5
130,4,1,2,0,1,0.82,0.9,1,1,1,10,5
131,4,7,2,1,3,0.82,0.9,1,2,1,1017,5
132,4,2,2,1,1,0.82,0.9,1,0,1,11,5
133,4,1,2,0,1,0.82,0.9,1,1,1,12,5
134,4,2,2,1,1,0.82,0.9,1,0,1,13,5
135,4,7,2,1,3,0.82,0.9,1,2,1,1018,5
136,4,2,2,1,1,0.82,0.9,1,0,1,14,5
137,4,7,1,1,3,0.82,0.9,1,2,0,1019,5
138,4,1,2,0,1,0.82,0.9,1,1,1,15,5
139,4,1,2,0,1,0.82,0.9,1,1,1,16,5
140,4,4,2,1,2,0.82,0.9,1,1,1,17,5
141,4,6,2,0,3,0.82,0.9,1,2,1,1020,5
142,4,2,2,1,1,0.82,0.9,1,0,1,18,5
143,4,2,2,1,1,0.82,0.9,1,0,1,19,5
144,4,2,2,1,1,0.82,0.9,1,0,1,20,5
145,4,5,1,1,2,0.5,0.5,1,1,0,1,6
146,4,5,1,0,2,0.5,0.5,1,0,0,2,6
147,4,5,1,0,2,0.5,0.5,1,0,0,3,6
148,4,5,1,1,1,0.5,0.5,1,0,0,4,6
149,4,5,1,0,1,0.5,0.5,1,1,0,5,6
150,4,5,1,0,2,0.5,0.5,1,0,0,6,6
151,4,5,1,0,1,0.5,0.5,1,1,0,7,6
152,4,5,1,1,1,0.5,0.5,1,0,0,8,6
153,4,5,1,1,1,0.5,0.5,1,0,0,9,6
154,4,5,1,1,2,0.5,0.5,1,1,0,10,6
155,4,5,1,1,2,0.5,0.5,1,1,0,11,6
156,4,5,1,0,1,0.5,0.5,1,1,0,12,6
157,4,1,3,0,1,0.82,0.821428571,0,1,1,1,7
158,4,3,3,0,2,0.82,0.821428571,0,0,1,2,7
159,4,2,3,1,1,0.82,0.821428571,0,0,1,3,7
160,4,2,3,1,1,0.82,0.821428571,0,0,1,4,7
161,4,2,3,1,1,0.82,0.821428571,0,0,1,5,7
162,4,1,3,0,1,0.82,0.821428571,0,1,1,6,7
163,4,3,3,0,2,0.82,0.821428571,0,0,1,7,7
164,4,7,1,1,3,0.82,0.821428571,1,2,0,1021,7
165,4,2,3,1,1,0.82,0.821428571,0,0,1,8,7
166,4,1,3,0,1,0.82,0.821428571,0,1,1,9,7
167,4,2,3,1,1,0.82,0.821428571,0,0,1,10,7
168,4,1,3,0,1,0.82,0.821428571,0,1,1,11,7
169,4,1,3,0,1,0.82,0.821428571,0,1,1,12,7
170,4,3,3,0,2,0.82,0.821428571,0,0,1,13,7
171,4,2,3,1,1,0.82,0.821428571,0,0,1,14,7
172,4,1,3,0,1,0.82,0.821428571,0,1,1,15,7
173,4,3,3,0,2,0.82,0.821428571,0,0,1,16,7
174,4,2,3,1,1,0.82,0.821428571,0,0,1,17,7
175,4,6,1,0,3,0.82,0.821428571,1,2,0,1022,7
176,4,2,3,1,1,0.82,0.821428571,0,0,1,18,7
177,4,1,3,0,1,0.82,0.821428571,0,1,1,19,7
178,4,1,3,0,1,0.82,0.821428571,0,1,1,20,7
179,4,1,3,0,1,0.82,0.821428571,0,1,1,21,7
180,4,2,3,1,1,0.82,0.821428571,0,0,1,22,7
181,4,2,3,1,1,0.82,0.821428571,0,0,1,23,7
182,4,2,3,1,1,0.82,0.821428571,0,0,1,24,7
183,4,2,3,1,1,0.82,0.821428571,0,0,1,25,7
184,4,2,3,1,1,0.82,0.821428571,0,0,1,26,7
185,4,2,3,1,1,0.82,0.821428571,0,0,1,27,7
186,4,1,3,0,1,0.82,0.821428571,0,1,1,28,7
187,4,2,3,1,1,0.82,0.821428571,0,0,1,29,7
188,4,1,3,0,1,0.82,0.821428571,0,1,1,30,7
189,4,2,3,1,1,0.82,0.821428571,0,0,1,31,7
190,4,1,3,0,1,0.82,0.821428571,0,1,1,32,7
191,4,7,3,1,3,0.82,0.821428571,0,2,1,1023,7
192,4,1,3,0,1,0.82,0.821428571,0,1,1,33,7
193,4,4,3,1,2,0.82,0.821428571,0,1,1,34,7
194,4,1,3,0,1,0.82,0.821428571,0,1,1,35,7
195,4,4,3,1,2,0.82,0.821428571,0,1,1,36,7
196,4,2,3,1,1,0.82,0.821428571,0,0,1,37,7
197,4,2,3,1,1,0.82,0.821428571,0,0,1,38,7
198,4,2,3,1,1,0.82,0.821428571,0,0,1,39,7
199,4,4,3,1,2,0.82,0.821428571,0,1,1,40,7
200,4,1,3,0,1,0.82,0.821428571,0,1,1,41,7
201,4,3,3,0,2,0.82,0.821428571,0,0,1,42,7
202,4,6,3,0,3,0.82,0.821428571,0,2,1,1024,7
203,4,1,3,0,1,0.82,0.821428571,0,1,1,43,7
204,4,7,3,1,3,0.82,0.821428571,0,2,1,1025,7
205,4,1,3,0,1,0.82,0.821428571,0,1,1,44,7
206,4,2,3,1,1,0.82,0.821428571,0,0,1,45,7
207,4,1,3,0,1,0.82,0.821428571,0,1,1,46,7
208,4,1,3,0,1,0.82,0.821428571,0,1,1,47,7
209,4,1,3,0,1,0.82,0.821428571,0,1,1,48,7
210,4,2,3,1,1,0.82,0.821428571,0,0,1,49,7
211,4,4,3,1,2,0.82,0.821428571,0,1,1,50,7
212,4,1,3,0,1,0.82,0.821428571,0,1,1,51,7
213,4,2,3,1,1,0.82,0.821428571,0,0,1,52,7
214,4,2,3,1,1,0.82,0.821428571,0,0,1,53,7
215,4,1,3,0,1,0.82,0.821428571,0,1,1,54,7
216,4,4,3,1,2,0.82,0.821428571,0,1,1,55,7
217,4,1,3,0,1,0.82,0.821428571,0,1,1,56,7
218,4,5,1,1,2,0.5,0.5,1,1,0,1,8
219,4,5,1,0,2,0.5,0.5,1,0,0,2,8
220,4,5,1,1,2,0.5,0.5,1,1,0,3,8
221,4,5,1,1,2,0.5,0.5,1,1,0,4,8
222,4,5,1,0,1,0.5,0.5,1,1,0,5,8
223,4,7,3,1,3,0.5,0.5,0,2,1,1026,8
224,4,5,1,1,1,0.5,0.5,1,0,0,6,8
225,4,5,1,0,2,0.5,0.5,1,0,0,7,8
226,4,5,1,1,1,0.5,0.5,1,0,0,8,8
227,4,5,1,0,1,0.5,0.5,1,1,0,9,8
228,4,5,1,1,1,0.5,0.5,1,0,0,10,8
229,4,5,1,0,1,0.5,0.5,1,1,0,11,8
230,4,6,3,0,3,0.5,0.5,0,2,1,1027,8
231,4,5,1,0,2,0.5,0.5,1,0,0,12,8
232,4,2,2,1,1,0.82,0.833333333,1,0,1,1,9
233,4,1,2,0,1,0.82,0.833333333,1,1,1,2,9
234,4,2,2,1,1,0.82,0.833333333,1,0,1,3,9
235,4,2,2,1,1,0.82,0.833333333,1,0,1,4,9
236,4,1,2,0,1,0.82,0.833333333,1,1,1,5,9
237,4,2,2,1,1,0.82,0.833333333,1,0,1,6,9
238,4,1,2,0,1,0.82,0.833333333,1,1,1,7,9
239,4,6,2,0,3,0.82,0.833333333,1,2,1,1028,9
240,4,7,1,1,3,0.82,0.833333333,1,2,0,1029,9
241,4,1,2,0,1,0.82,0.833333333,1,1,1,8,9
242,4,6,1,0,3,0.82,0.833333333,1,2,0,1030,8
243,4,2,2,1,1,0.82,0.833333333,1,0,1,9,9
244,4,3,2,0,2,0.82,0.833333333,1,0,1,10,9
245,4,6,3,0,3,0.82,0.833333333,0,2,1,1031,9
246,4,1,2,0,1,0.82,0.833333333,1,1,1,11,9
247,4,4,2,1,2,0.82,0.833333333,1,1,1,12,9
248,4,2,2,1,1,0.82,0.833333333,1,0,1,13,9
249,4,2,2,1,1,0.82,0.833333333,1,0,1,14,9
250,4,3,2,0,2,0.82,0.833333333,1,0,1,15,9
251,4,1,2,0,1,0.82,0.833333333,1,1,1,16,9
252,4,1,2,0,1,0.82,0.833333333,1,1,1,17,9
253,4,1,2,0,1,0.82,0.833333333,1,1,1,18,9
254,4,2,2,1,1,0.82,0.833333333,1,0,1,19,9
255,4,2,2,1,1,0.82,0.833333333,1,0,1,20,9
256,4,1,2,0,1,0.82,0.833333333,1,1,1,21,9
257,4,2,2,1,1,0.82,0.833333333,1,0,1,22,9
258,4,6,1,0,3,0.82,0.833333333,1,2,0,1032,9
259,4,4,2,1,2,0.82,0.833333333,1,1,1,23,9
260,4,1,2,0,1,0.82,0.833333333,1,1,1,24,9
261,4,6,2,0,3,0.82,0.833333333,1,2,1,1033,9
262,4,5,1,0,2,0.5,0.5,1,0,0,1,10
263,4,5,1,1,2,0.5,0.5,1,1,0,2,10
264,4,7,1,1,3,0.5,0.5,1,2,0,1034,10
265,4,5,1,1,1,0.5,0.5,1,0,0,3,10
266,4,5,1,1,1,0.5,0.5,1,0,0,4,10
267,4,5,1,1,2,0.5,0.5,1,1,0,5,10
268,4,5,1,0,2,0.5,0.5,1,0,0,6,10
269,4,5,1,0,1,0.5,0.5,1,1,0,7,10
270,4,5,1,0,1,0.5,0.5,1,1,0,8,10
271,4,7,2,1,3,0.5,0.5,1,2,1,1035,10
272,4,1,2,0,1,0.18,0.214285714,1,0,2,1,11
273,4,2,2,1,1,0.18,0.214285714,1,1,2,2,11
274,4,1,2,0,1,0.18,0.214285714,1,0,2,3,11
275,4,1,2,0,1,0.18,0.214285714,1,0,2,4,11
276,4,2,2,1,1,0.18,0.214285714,1,1,2,5,11
277,4,7,2,1,3,0.18,0.214285714,1,2,1,1036,11
278,4,4,2,1,2,0.18,0.214285714,1,0,2,6,11
279,4,7,2,1,3,0.18,0.214285714,1,2,2,1037,11
280,4,2,2,1,1,0.18,0.214285714,1,1,2,7,11
281,4,4,2,1,2,0.18,0.214285714,1,0,2,8,11
282,4,2,2,1,1,0.18,0.214285714,1,1,2,9,11
283,4,1,2,0,1,0.18,0.214285714,1,0,2,10,11
284,4,2,2,1,1,0.18,0.214285714,1,1,2,11,11
285,4,1,2,0,1,0.18,0.214285714,1,0,2,12,11
286,4,2,2,1,1,0.18,0.214285714,1,1,2,13,11
287,4,3,2,0,2,0.18,0.214285714,1,1,2,14,11
288,4,2,2,1,1,0.18,0.214285714,1,1,2,15,11
289,4,2,2,1,1,0.18,0.214285714,1,1,2,16,11
290,4,1,2,0,1,0.18,0.214285714,1,0,2,17,11
291,4,2,2,1,1,0.18,0.214285714,1,1,2,18,11
292,4,2,2,1,1,0.18,0.214285714,1,1,2,19,11
293,4,3,2,0,2,0.18,0.214285714,1,1,2,20,11
294,4,1,2,0,1,0.18,0.214285714,1,0,2,21,11
295,4,6,1,0,3,0.18,0.214285714,1,2,0,1038,11
296,4,1,2,0,1,0.18,0.214285714,1,0,2,22,11
297,4,4,2,1,2,0.18,0.214285714,1,0,2,23,11
298,4,6,2,0,3,0.18,0.214285714,1,2,2,1039,11
299,4,7,1,1,3,0.18,0.214285714,1,2,0,1040,11
300,4,2,2,1,1,0.18,0.214285714,1,1,2,24,11
