trial,sequence,condition,block_type,cue,trial_type,desired_prob,actual_prob,block_volatility,outcome,cue_prediction,blockwise_trial,blockNumber
1,1,1,3,0,1,0.82,0.821428571,0,1,1,1,1
2,1,1,3,0,1,0.82,0.821428571,0,1,1,2,1
3,1,1,3,0,1,0.82,0.821428571,0,1,1,3,1
4,1,1,3,0,1,0.82,0.821428571,0,1,1,4,1
5,1,1,3,0,1,0.82,0.821428571,0,1,1,5,1
6,1,2,3,1,1,0.82,0.821428571,0,0,1,6,1
7,1,2,3,1,1,0.82,0.821428571,0,0,1,7,1
8,1,2,3,1,1,0.82,0.821428571,0,0,1,8,1
9,1,2,3,1,1,0.82,0.821428571,0,0,1,9,1
10,1,1,3,0,1,0.82,0.821428571,0,1,1,10,1
11,1,3,3,0,2,0.82,0.821428571,0,0,1,11,1
12,1,2,3,1,1,0.82,0.821428571,0,0,1,12,1
13,1,4,3,1,2,0.82,0.821428571,0,1,1,13,1
14,1,4,3,1,2,0.82,0.821428571,0,1,1,14,1
15,1,2,3,1,1,0.82,0.821428571,0,0,1,15,1
16,1,2,3,1,1,0.82,0.821428571,0,0,1,16,1
17,1,2,3,1,1,0.82,0.821428571,0,0,1,17,1
18,1,7,3,1,3,0.82,0.821428571,0,2,1,1001,1
19,1,1,3,0,1,0.82,0.821428571,0,1,1,18,1
20,1,1,3,0,1,0.82,0.821428571,0,1,1,19,1
21,1,2,3,1,1,0.82,0.821428571,0,0,1,20,1
22,1,1,3,0,1,0.82,0.821428571,0,1,1,21,1
23,1,1,3,0,1,0.82,0.821428571,0,1,1,22,1
24,1,1,3,0,1,0.82,0.821428571,0,1,1,23,1
25,1,7,3,1,3,0.82,0.821428571,0,2,1,1002,1
26,1,3,3,0,2,0.82,0.821428571,0,0,1,24,1
27,1,3,3,0,2,0.82,0.821428571,0,0,1,25,1
28,1,2,3,1,1,0.82,0.821428571,0,0,1,26,1
29,1,2,3,1,1,0.82,0.821428571,0,0,1,27,1
30,1,2,3,1,1,0.82,0.821428571,0,0,1,28,1
31,1,2,3,1,1,0.82,0.821428571,0,0,1,29,1
32,1,2,3,1,1,0.82,0.821428571,0,0,1,30,1
33,1,2,3,1,1,0.82,0.821428571,0,0,1,31,1
34,1,7,3,1,3,0.82,0.821428571,0,2,1,1003,1
35,1,1,3,0,1,0.82,0.821428571,0,1,1,32,1
36,1,1,3,0,1,0.82,0.821428571,0,1,1,33,1
37,1,1,3,0,1,0.82,0.821428571,0,1,1,34,1
38,1,2,3,1,1,0.82,0.821428571,0,0,1,35,1
39,1,1,3,0,1,0.82,0.821428571,0,1,1,36,1
40,1,2,3,1,1,0.82,0.821428571,0,0,1,37,1
41,1,1,3,0,1,0.82,0.821428571,0,1,1,38,1
42,1,2,3,1,1,0.82,0.821428571,0,0,1,39,1
43,1,1,3,0,1,0.82,0.821428571,0,1,1,40,1
44,1,2,3,1,1,0.82,0.821428571,0,0,1,41,1
45,1,2,3,1,1,0.82,0.821428571,0,0,1,42,1
46,1,1,3,0,1,0.82,0.821428571,0,1,1,43,1
47,1,3,3,0,2,0.82,0.821428571,0,0,1,44,1
48,1,3,3,0,2,0.82,0.821428571,0,0,1,45,1
49,1,4,3,1,2,0.82,0.821428571,0,1,1,46,1
50,1,1,3,0,1,0.82,0.821428571,0,1,1,47,1
51,1,4,3,1,2,0.82,0.821428571,0,1,1,48,1
52,1,1,3,0,1,0.82,0.821428571,0,1,1,49,1
53,1,6,3,0,3,0.82,0.821428571,0,2,1,1004,1
54,1,2,3,1,1,0.82,0.821428571,0,0,1,50,1
55,1,4,3,1,2,0.82,0.821428571,0,1,1,51,1
56,1,1,3,0,1,0.82,0.821428571,0,1,1,52,1
57,1,1,3,0,1,0.82,0.821428571,0,1,1,53,1
58,1,2,3,1,1,0.82,0.821428571,0,0,1,54,1
59,1,1,3,0,1,0.82,0.821428571,0,1,1,55,1
60,1,6,3,0,3,0.82,0.821428571,0,2,1,1005,1
61,1,2,3,1,1,0.82,0.821428571,0,0,1,56,1
62,1,5,1,0,2,0.5,0.5,1,0,0,1,2
63,1,5,1,1,1,0.5,0.5,1,0,0,2,2
64,1,5,1,0,1,0.5,0.5,1,1,0,3,2
65,1,5,1,0,1,0.5,0.5,1,1,0,4,2
66,1,5,1,0,1,0.5,0.5,1,1,0,5,2
67,1,5,1,1,2,0.5,0.5,1,1,0,6,2
68,1,6,3,0,3,0.5,0.5,0,2,1,1006,2
69,1,5,1,1,2,0.5,0.5,1,1,0,7,2
70,1,5,1,1,1,0.5,0.5,1,0,0,8,2
71,1,5,1,0,2,0.5,0.5,1,0,0,9,2
72,1,5,1,1,2,0.5,0.5,1,1,0,10,2
73,1,5,1,1,1,0.5,0.5,1,0,0,11,2
74,1,5,1,0,2,0.5,0.5,1,0,0,12,2
75,1,2,2,1,1,0.18,0.2,1,1,2,1,3
76,1,2,2,1,1,0.18,0.2,1,1,2,2,3
77,1,2,2,1,1,0.18,0.2,1,1,2,3,3
78,1,1,2,0,1,0.18,0.2,1,0,2,4,3
79,1,1,2,0,1,0.18,0.2,1,0,2,5,3
80,1,7,1,1,3,0.18,0.2,1,2,0,1007,3
81,1,3,2,0,2,0.18,0.2,1,1,2,6,3
82,1,4,2,1,2,0.18,0.2,1,0,2,7,3
83,1,6,1,0,3,0.18,0.2,1,2,0,1008,3
84,1,6,2,0,3,0.18,0.2,1,2,2,1009,3
85,1,2,2,1,1,0.18,0.2,1,1,2,8,3
86,1,1,2,0,1,0.18,0.2,1,0,2,9,3
87,1,2,2,1,1,0.18,0.2,1,1,2,10,3
88,1,1,2,0,1,0.18,0.2,1,0,2,11,3
89,1,1,2,0,1,0.18,0.2,1,0,2,12,3
90,1,1,2,0,1,0.18,0.2,1,0,2,13,3
91,1,2,2,1,1,0.18,0.2,1,1,2,14,3
92,1,4,2,1,2,0.18,0.2,1,0,2,15,3
93,1,1,2,0,1,0.18,0.2,1,0,2,16,3
94,1,2,2,1,1,0.18,0.2,1,1,2,17,3
95,1,1,2,0,1,0.18,0.2,1,0,2,18,3
96,1,3,2,0,2,0.18,0.2,1,1,2,19,3
97,1,2,2,1,1,0.18,0.2,1,1,2,20,3
98,1,5,1,1,2,0.5,0.5,1,1,0,1,4
99,1,7,2,1,3,0.5,0.5,1,2,2,1010,4
100,1,5,1,0,2,0.5,0.5,1,0,0,2,4
101,1,5,1,1,1,0.5,0.5,1,0,0,3,4
102,1,7,2,1,3,0.5,0.5,1,2,2,1011,4
103,1,5,1,0,2,0.5,0.5,1,0,0,4,4
104,1,5,1,0,1,0.5,0.5,1,1,0,5,4
105,1,5,1,1,1,0.5,0.5,1,0,0,6,4
106,1,5,1,0,1,0.5,0.5,1,1,0,7,4
107,1,6,1,0,3,0.5,0.5,1,2,0,1012,4
108,1,5,1,1,2,0.5,0.5,1,1,0,8,4
109,1,2,2,1,1,0.18,0.166666667,1,1,2,1,5
110,1,2,2,1,1,0.18,0.166666667,1,1,2,2,5
111,1,6,2,0,3,0.18,0.166666667,1,2,2,1013,5
112,1,1,2,0,1,0.18,0.166666667,1,0,2,3,5
113,1,7,1,1,3,0.18,0.166666667,1,2,0,1014,5
114,1,1,2,0,1,0.18,0.166666667,1,0,2,4,5
115,1,1,2,0,1,0.18,0.166666667,1,0,2,5,5
116,1,7,1,1,3,0.18,0.166666667,1,2,0,1015,5
117,1,2,2,1,1,0.18,0.166666667,1,1,2,6,5
118,1,1,2,0,1,0.18,0.166666667,1,0,2,7,5
119,1,1,2,0,1,0.18,0.166666667,1,0,2,8,5
120,1,6,1,0,3,0.18,0.166666667,1,2,0,1016,5
121,1,2,2,1,1,0.18,0.166666667,1,1,2,9,5
122,1,2,2,1,1,0.18,0.166666667,1,1,2,10,5
123,1,2,2,1,1,0.18,0.166666667,1,1,2,11,5
124,1,1,2,0,1,0.18,0.166666667,1,0,2,12,5
125,1,4,2,1,2,0.18,0.166666667,1,0,2,13,5
126,1,6,2,0,3,0.18,0.166666667,1,2,2,1017,5
127,1,2,2,1,1,0.18,0.166666667,1,1,2,14,5
128,1,4,2,1,2,0.18,0.166666667,1,0,2,15,5
129,1,1,2,0,1,0.18,0.166666667,1,0,2,16,5
130,1,1,2,0,1,0.18,0.166666667,1,0,2,17,5
131,1,7,2,1,3,0.18,0.166666667,1,2,2,1018,5
132,1,3,2,0,2,0.18,0.166666667,1,1,2,18,5
133,1,2,2,1,1,0.18,0.166666667,1,1,2,19,5
134,1,2,2,1,1,0.18,0.166666667,1,1,2,20,5
135,1,2,2,1,1,0.18,0.166666667,1,1,2,21,5
136,1,1,2,0,1,0.18,0.166666667,1,0,2,22,5
137,1,1,2,0,1,0.18,0.166666667,1,0,2,23,5
138,1,3,2,0,2,0.18,0.166666667,1,1,2,24,5
139,1,5,1,0,1,0.5,0.5,1,1,0,1,6
140,1,5,1,1,2,0.5,0.5,1,1,0,2,6
141,1,5,1,1,1,0.5,0.5,1,0,0,3,6
142,1,5,1,0,1,0.5,0.5,1,1,0,4,6
143,1,5,1,0,2,0.5,0.5,1,0,0,5,6
144,1,5,1,1,2,0.5,0.5,1,1,0,6,6
145,1,7,2,1,3,0.5,0.5,1,2,2,1019,6
146,1,5,1,0,2,0.5,0.5,1,0,0,7,6
147,1,6,2,0,3,0.5,0.5,1,2,2,1020,6
148,1,5,1,1,1,0.5,0.5,1,0,0,8,6
149,1,2,3,1,1,0.18,0.1875,0,1,2,1,7
150,1,1,3,0,1,0.18,0.1875,0,0,2,2,7
151,1,1,3,0,1,0.18,0.1875,0,0,2,3,7
152,1,4,3,1,2,0.18,0.1875,0,0,2,4,7
153,1,1,3,0,1,0.18,0.1875,0,0,2,5,7
154,1,2,3,1,1,0.18,0.1875,0,1,2,6,7
155,1,7,1,1,3,0.18,0.1875,1,2,0,1021,7
156,1,1,3,0,1,0.18,0.1875,0,0,2,7,7
157,1,2,3,1,1,0.18,0.1875,0,1,2,8,7
